,album_name,track_name,Cluster
0,SABINA之淚,每次你走的時分,3
1,SABINA之淚,下了兩天雨,4
2,SABINA之淚,詩歌舞街,4
3,那陣時不知道,那陣時不知道,4
4,準備中,無條件,4
5,SABINA之淚,QUEEN,4
6,火炭麗琪,麥記最後一夜,3
7,香港是個大商場,九龍公園游泳池,1
8,SABINA之淚,喫煙席,4
9,老派約會之必要,老派約會之必要,0
10,SABINA之淚,因講了出來,4
11,適婚的年齡,love disabled,0
12,SABINA之淚,宋代SAD BOY,4
13,SABINA之淚,SABINA之淚,4
14,SABINA之淚,K同學,4
15,你說之後會找我,西湖沒有中秋,4
16,這世界那麼多人 (電影《我要我們在一起》主題曲),這世界那麼多人 - 電影《我要我們在一起》主題曲,4
17,火炭麗琪,驗孕的下晝,4
18,跟你開玩笑,德州之戀,3
19,適婚的年齡,土瓜灣情歌,3
20,Binary,囍帖街,4
21,跟你開玩笑,八點零五分,3
22,你說之後會找我,Hey Hey Baby,4
23,跟你開玩笑,某夜後台,4
24,初夏之戀,I'll Have to Say I Love You in a Song,5
25,跟你開玩笑,不要把冬天衫放回衣櫃,1
26,跟你開玩笑,循環的夜,3
27,適婚的年齡,美麗新香港,5
28,寂寞的星期五,憂傷的嫖客,0
29,如愿,如愿,4
30,跟你開玩笑,我不適合聚會,4
31,What's Going On...?,富士山下,4
32,黑·白·灰,十年,4
33,孤勇者 (《英雄聯盟:雙城之戰》動畫劇集中文主題曲),孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,5
34,I ALSO DON'T KNOW (Live),每次你走的時分 - Live,1
35,遊戲 基,必殺技,5
36,華納廿三週年紀念精選系列 - Beyond,海闊天空,4
37,Kelly Stylish Index,Love Paradise,4
38,Shall We Dance? Shall We Talk!,單車,4
39,秋日思念絮語,愛一個人好難,4
40,秋日思念絮語,獨家記憶,1
41,秋日思念絮語,體會,4
42,秋日思念絮語,上弦月,4
43,Best Cantopop Tunes,二等天使,3
44,Best Cantopop Tunes,追 - 電影《金枝玉葉》歌曲,4
45,Best Cantopop Tunes,夏日傾情,4
46,Best Cantopop Tunes,她比我醜,1
47,Best Cantopop Tunes,戀愛頻率,1
48,Best Cantopop Tunes,脆弱,1
49,Best Cantopop Tunes,無悔這一生 - 無綫電視劇「香港雲起時」主題曲,5
50,羅生門,羅生門,1
51,人類不宜飛行,人類不宜飛行,5
52,認了吧,好久不見,4
53,危險世界,特別的人,5
54,SABINA之淚,今夜雪糕,3
55,命運派對,光輝歲月,4
56,火炭麗琪,獨身的理由,1
57,不能不愛…盧巧音精選,好心分手,0
58,SABINA之淚,只收一半,1
59,你說之後會找我,你說之後會找我,4
60,SABINA之淚,那陣時不知道,4
61,SABINA之淚,20GB,4
62,你說之後會找我,再殺一個人,4
63,All Time Favourites,忘記他,3
64,反對無效,反對無效,0
65,Life Continues,最佳損友,4
66,SABINA之淚,散步之年,4
67,認了吧,愛情轉移(國),1
68,Can't Be Half,你瞞我瞞,4
69,認了吧,淘汰,5
70,寂寞的星期五,回到中學的暑假,0
71,Play It Loud Kiss Music Soft,少女的祈禱,4
72,傳奇 - 胡思亂想,夢中人,3
73,只因當時太緊張,失落沮喪歌,3
74,你說之後會找我,你叫我譯一首德國歌詞,1
75,電視劇《夏至未至》原聲帶,追光者 (電視劇《夏至未至》插曲),4
76,介乎法國與旺角的詩意,浪漫九龍塘,3
77,記憶棉,記憶棉,5
78,天空,掙脫,1
79,我們在中場相遇,慢慢喜歡你,4
80,Miriam's Music Box,可惜我是水瓶座,4
81,10號梁漢文,七友,5
82,唱遊,紅豆,3
83,就是莫文蔚,忽然之間,4
84,Ginadoll,Wonderful U,1
85,KONTINUE,家明,1
86,小眾情人,高山低谷,4
87,I'm Still Loving You,I'm Still Loving You,5
88,What Really Matters (加強版),木紋,3
89,獨家記憶,獨家記憶,4
90,SABINA之淚,燕,4
