,album_name,track_name,Cluster
0,SABINA之淚,每次你走的時分,1
1,SABINA之淚,下了兩天雨,1
2,SABINA之淚,詩歌舞街,1
3,那陣時不知道,那陣時不知道,1
4,準備中,無條件,1
5,SABINA之淚,QUEEN,1
6,火炭麗琪,麥記最後一夜,1
7,香港是個大商場,九龍公園游泳池,1
8,SABINA之淚,喫煙席,1
9,老派約會之必要,老派約會之必要,2
10,SABINA之淚,因講了出來,1
11,適婚的年齡,love disabled,1
12,SABINA之淚,宋代SAD BOY,1
13,SABINA之淚,SABINA之淚,1
14,SABINA之淚,K同學,1
15,你說之後會找我,西湖沒有中秋,1
16,這世界那麼多人 (電影《我要我們在一起》主題曲),這世界那麼多人 - 電影《我要我們在一起》主題曲,1
17,火炭麗琪,驗孕的下晝,1
18,跟你開玩笑,德州之戀,1
19,適婚的年齡,土瓜灣情歌,1
20,Binary,囍帖街,1
21,跟你開玩笑,八點零五分,1
22,你說之後會找我,Hey Hey Baby,1
23,跟你開玩笑,某夜後台,1
24,初夏之戀,I'll Have to Say I Love You in a Song,1
25,跟你開玩笑,不要把冬天衫放回衣櫃,2
26,跟你開玩笑,循環的夜,1
27,適婚的年齡,美麗新香港,1
28,寂寞的星期五,憂傷的嫖客,1
29,如愿,如愿,1
30,跟你開玩笑,我不適合聚會,1
31,What's Going On...?,富士山下,1
32,黑·白·灰,十年,1
33,孤勇者 (《英雄聯盟:雙城之戰》動畫劇集中文主題曲),孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,1
34,I ALSO DON'T KNOW (Live),每次你走的時分 - Live,2
35,遊戲 基,必殺技,1
36,華納廿三週年紀念精選系列 - Beyond,海闊天空,1
37,Kelly Stylish Index,Love Paradise,1
38,Shall We Dance? Shall We Talk!,單車,1
39,秋日思念絮語,愛一個人好難,1
40,秋日思念絮語,獨家記憶,1
41,秋日思念絮語,體會,1
42,秋日思念絮語,上弦月,1
43,Best Cantopop Tunes,二等天使,1
44,Best Cantopop Tunes,追 - 電影《金枝玉葉》歌曲,1
45,Best Cantopop Tunes,夏日傾情,1
46,Best Cantopop Tunes,她比我醜,1
47,Best Cantopop Tunes,戀愛頻率,2
48,Best Cantopop Tunes,脆弱,1
49,Best Cantopop Tunes,無悔這一生 - 無綫電視劇「香港雲起時」主題曲,1
50,羅生門,羅生門,1
51,人類不宜飛行,人類不宜飛行,1
52,認了吧,好久不見,1
53,危險世界,特別的人,1
54,SABINA之淚,今夜雪糕,1
55,命運派對,光輝歲月,1
56,火炭麗琪,獨身的理由,1
57,不能不愛…盧巧音精選,好心分手,2
58,SABINA之淚,只收一半,1
59,你說之後會找我,你說之後會找我,1
60,SABINA之淚,那陣時不知道,1
61,SABINA之淚,20GB,1
62,你說之後會找我,再殺一個人,1
63,All Time Favourites,忘記他,1
64,反對無效,反對無效,1
65,Life Continues,最佳損友,1
66,SABINA之淚,散步之年,1
67,認了吧,愛情轉移(國),1
68,Can't Be Half,你瞞我瞞,1
69,認了吧,淘汰,1
70,寂寞的星期五,回到中學的暑假,1
71,Play It Loud Kiss Music Soft,少女的祈禱,1
72,傳奇 - 胡思亂想,夢中人,2
73,只因當時太緊張,失落沮喪歌,2
74,你說之後會找我,你叫我譯一首德國歌詞,1
75,電視劇《夏至未至》原聲帶,追光者 (電視劇《夏至未至》插曲),1
76,介乎法國與旺角的詩意,浪漫九龍塘,1
77,記憶棉,記憶棉,1
78,天空,掙脫,2
79,我們在中場相遇,慢慢喜歡你,1
80,Miriam's Music Box,可惜我是水瓶座,1
81,10號梁漢文,七友,1
82,唱遊,紅豆,1
83,就是莫文蔚,忽然之間,1
84,Ginadoll,Wonderful U,1
85,KONTINUE,家明,2
86,小眾情人,高山低谷,1
87,I'm Still Loving You,I'm Still Loving You,1
88,What Really Matters (加強版),木紋,1
89,獨家記憶,獨家記憶,1
90,SABINA之淚,燕,1
91,蜚聲百代系列 李龍基精選,稻草人,1
92,我的挑選,親情 - 無線電視劇[親情]主題曲,1
93,"但願人長久 (劇集 ""跳躍生命線"" 插曲)","但願人長久 - 劇集 ""跳躍生命線"" 插曲",1
94,萬千寵愛30首,最愛,1
95,兩旬之歌,兩旬之歌,1
96,The Brightest Darkness,俏郎君,1
97,Best Cantopop Tunes,畫意,1
98,MEMENTO,記得,1
99,Best Cantopop Tunes,多情,1
100,愛愛愛,愛愛愛,1
101,匆匆那年,匆匆那年,1
102,U 87,葡萄成熟時,1
103,火炭麗琪,明天不要賴床 Baby,1
104,火炭麗琪,今天沒大麻在身,2
105,你說之後會找我,彌敦道的一晚good trip,1
106,我本人,吳哥窟,1
107,靜聽精彩十三首,傾城,1
108,適婚的年齡,年輕的茶餐廳老闆娘,1
109,火炭麗琪,今夜到干諾道中一起瞓,1
110,適婚的年齡,五點鐘去天光墟,1
111,Album 1,說散就散,1
112,介乎法國與旺角的詩意,介乎法國與旺角的詩意,1
113,Y100,陀飛輪,1
114,香港是個大商場,迷人的頸巾,2
115,永遠是你的朋友,千千闋歌,1
116,走過1999,她來聽我的演唱會,1
117,你說之後會找我,以為和你熟,1
118,寂寞的星期五,廣州足浴一夜,1
119,U 87,浮誇,2
120,梁祝下世傳奇 (2nd Version),勞斯.萊斯,1
121,F,奇洛李維斯回信,1
122,只因當時太緊張,只因當時太緊張,2
123,"我們在炎熱與抑鬱的夏天,無法停止抽煙",讓我搭一班會爆炸的飛機,2
124,我們 (《後來的我們》電影主題曲),我們 - 《後來的我們》電影主題曲,1
125,華納廿三週年紀念精選系列 - Beyond,情人,1
126,樹木真美,樹木真美,2
127,大雄,愛與誠,1
128,Stranger Under My Skin,苦瓜,1
129,KONTINUE,"我可以被這個世界淘汰,但不可以被世界擊敗",1
130,正東 10 X 10 我至愛唱片 - BEYOND『秘密警察』,喜歡妳,2
131,賽勒斯的愛,賽勒斯的愛,1
132,Di Dar,曖昧,1
133,千嬅盛放,勇,1
134,情不禁- 張學友,每天愛你多一些,1
135,Let Me Find Love,蜚蜚,1
136,The Key,任我行,1
137,I ALSO DON'T KNOW (Live),QUEEN - Live,1
138,P.S. I Love You (2nd Edition),只是太愛你,1
139,Back To Black Series - Beyond IV真的愛妳,真的愛妳,2
140,陳小春金碟鐵盒珍藏系列,相依為命,1
141,某種老朋友,某種老朋友,1
142,No. Eleven,春秋,1
143,命運符號,月半小夜曲,1
144,Lam's Twenty Greatest Hits,在水中央,1
