,album_name,track_name,Cluster
0,SABINA之淚,每次你走的時分,3
1,SABINA之淚,下了兩天雨,2
2,SABINA之淚,詩歌舞街,2
3,那陣時不知道,那陣時不知道,2
4,準備中,無條件,2
5,SABINA之淚,QUEEN,2
6,火炭麗琪,麥記最後一夜,2
7,香港是個大商場,九龍公園游泳池,2
8,SABINA之淚,喫煙席,2
9,老派約會之必要,老派約會之必要,1
10,SABINA之淚,因講了出來,1
11,適婚的年齡,love disabled,1
12,SABINA之淚,宋代SAD BOY,1
13,SABINA之淚,SABINA之淚,2
14,SABINA之淚,K同學,2
15,你說之後會找我,西湖沒有中秋,2
16,這世界那麼多人 (電影《我要我們在一起》主題曲),這世界那麼多人 - 電影《我要我們在一起》主題曲,2
17,火炭麗琪,驗孕的下晝,1
18,跟你開玩笑,德州之戀,3
19,適婚的年齡,土瓜灣情歌,2
20,Binary,囍帖街,2
21,跟你開玩笑,八點零五分,3
22,你說之後會找我,Hey Hey Baby,1
23,跟你開玩笑,某夜後台,2
24,初夏之戀,I'll Have to Say I Love You in a Song,2
25,跟你開玩笑,不要把冬天衫放回衣櫃,3
26,跟你開玩笑,循環的夜,3
27,適婚的年齡,美麗新香港,3
28,寂寞的星期五,憂傷的嫖客,1
29,如愿,如愿,2
30,跟你開玩笑,我不適合聚會,1
31,What's Going On...?,富士山下,2
32,黑·白·灰,十年,2
33,孤勇者 (《英雄聯盟:雙城之戰》動畫劇集中文主題曲),孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,2
34,I ALSO DON'T KNOW (Live),每次你走的時分 - Live,3
35,遊戲 基,必殺技,2
36,華納廿三週年紀念精選系列 - Beyond,海闊天空,1
37,Kelly Stylish Index,Love Paradise,1
38,Shall We Dance? Shall We Talk!,單車,2
39,秋日思念絮語,愛一個人好難,1
40,秋日思念絮語,獨家記憶,2
41,秋日思念絮語,體會,2
42,秋日思念絮語,上弦月,2
43,Best Cantopop Tunes,二等天使,3
44,Best Cantopop Tunes,追 - 電影《金枝玉葉》歌曲,2
45,Best Cantopop Tunes,夏日傾情,2
46,Best Cantopop Tunes,她比我醜,3
47,Best Cantopop Tunes,戀愛頻率,2
48,Best Cantopop Tunes,脆弱,3
49,Best Cantopop Tunes,無悔這一生 - 無綫電視劇「香港雲起時」主題曲,2
50,羅生門,羅生門,2
51,人類不宜飛行,人類不宜飛行,3
52,認了吧,好久不見,2
53,危險世界,特別的人,2
54,SABINA之淚,今夜雪糕,3
55,命運派對,光輝歲月,2
56,火炭麗琪,獨身的理由,2
57,不能不愛…盧巧音精選,好心分手,1
58,SABINA之淚,只收一半,3
59,你說之後會找我,你說之後會找我,2
60,SABINA之淚,那陣時不知道,2
61,SABINA之淚,20GB,1
62,你說之後會找我,再殺一個人,2
63,All Time Favourites,忘記他,2
64,反對無效,反對無效,1
65,Life Continues,最佳損友,2
66,SABINA之淚,散步之年,2
67,認了吧,愛情轉移(國),3
68,Can't Be Half,你瞞我瞞,1
69,認了吧,淘汰,2
70,寂寞的星期五,回到中學的暑假,1
71,Play It Loud Kiss Music Soft,少女的祈禱,2
72,傳奇 - 胡思亂想,夢中人,3
73,只因當時太緊張,失落沮喪歌,0
74,你說之後會找我,你叫我譯一首德國歌詞,2
75,電視劇《夏至未至》原聲帶,追光者 (電視劇《夏至未至》插曲),1
76,介乎法國與旺角的詩意,浪漫九龍塘,1
77,記憶棉,記憶棉,2
78,天空,掙脫,3
79,我們在中場相遇,慢慢喜歡你,2
80,Miriam's Music Box,可惜我是水瓶座,2
81,10號梁漢文,七友,3
82,唱遊,紅豆,2
83,就是莫文蔚,忽然之間,2
84,Ginadoll,Wonderful U,2
85,KONTINUE,家明,3
86,小眾情人,高山低谷,2
87,I'm Still Loving You,I'm Still Loving You,2
88,What Really Matters (加強版),木紋,3
89,獨家記憶,獨家記憶,1
90,SABINA之淚,燕,2
91,蜚聲百代系列 李龍基精選,稻草人,2
92,我的挑選,親情 - 無線電視劇[親情]主題曲,1
93,"但願人長久 (劇集 ""跳躍生命線"" 插曲)","但願人長久 - 劇集 ""跳躍生命線"" 插曲",2
94,萬千寵愛30首,最愛,2
95,兩旬之歌,兩旬之歌,2
96,The Brightest Darkness,俏郎君,2
97,Best Cantopop Tunes,畫意,1
98,MEMENTO,記得,2
99,Best Cantopop Tunes,多情,2
100,愛愛愛,愛愛愛,1
101,匆匆那年,匆匆那年,2
102,U 87,葡萄成熟時,2
103,火炭麗琪,明天不要賴床 Baby,1
104,火炭麗琪,今天沒大麻在身,3
105,你說之後會找我,彌敦道的一晚good trip,2
106,我本人,吳哥窟,2
107,靜聽精彩十三首,傾城,2
108,適婚的年齡,年輕的茶餐廳老闆娘,2
109,火炭麗琪,今夜到干諾道中一起瞓,1
110,適婚的年齡,五點鐘去天光墟,1
111,Album 1,說散就散,2
112,介乎法國與旺角的詩意,介乎法國與旺角的詩意,2
113,Y100,陀飛輪,2
114,香港是個大商場,迷人的頸巾,0
115,永遠是你的朋友,千千闋歌,2
116,走過1999,她來聽我的演唱會,3
117,你說之後會找我,以為和你熟,3
118,寂寞的星期五,廣州足浴一夜,2
119,U 87,浮誇,3
120,梁祝下世傳奇 (2nd Version),勞斯.萊斯,2
121,F,奇洛李維斯回信,1
122,只因當時太緊張,只因當時太緊張,3
123,"我們在炎熱與抑鬱的夏天,無法停止抽煙",讓我搭一班會爆炸的飛機,0
124,我們 (《後來的我們》電影主題曲),我們 - 《後來的我們》電影主題曲,2
125,華納廿三週年紀念精選系列 - Beyond,情人,2
126,樹木真美,樹木真美,3
127,大雄,愛與誠,2
128,Stranger Under My Skin,苦瓜,2
129,KONTINUE,"我可以被這個世界淘汰,但不可以被世界擊敗",2
130,正東 10 X 10 我至愛唱片 - BEYOND『秘密警察』,喜歡妳,3
131,賽勒斯的愛,賽勒斯的愛,2
132,Di Dar,曖昧,3
133,千嬅盛放,勇,2
134,情不禁- 張學友,每天愛你多一些,2
135,Let Me Find Love,蜚蜚,2
136,The Key,任我行,2
137,I ALSO DON'T KNOW (Live),QUEEN - Live,3
138,P.S. I Love You (2nd Edition),只是太愛你,2
139,Back To Black Series - Beyond IV真的愛妳,真的愛妳,3
140,陳小春金碟鐵盒珍藏系列,相依為命,2
141,某種老朋友,某種老朋友,2
142,No. Eleven,春秋,1
