,album_name,track_name,Cluster
0,SABINA之淚,每次你走的時分,0
1,SABINA之淚,下了兩天雨,0
2,SABINA之淚,詩歌舞街,0
3,那陣時不知道,那陣時不知道,0
4,準備中,無條件,0
5,SABINA之淚,QUEEN,0
6,火炭麗琪,麥記最後一夜,0
7,香港是個大商場,九龍公園游泳池,0
8,SABINA之淚,喫煙席,0
9,老派約會之必要,老派約會之必要,0
10,SABINA之淚,因講了出來,0
11,適婚的年齡,love disabled,0
12,SABINA之淚,宋代SAD BOY,0
13,SABINA之淚,SABINA之淚,0
14,SABINA之淚,K同學,0
15,你說之後會找我,西湖沒有中秋,0
16,這世界那麼多人 (電影《我要我們在一起》主題曲),這世界那麼多人 - 電影《我要我們在一起》主題曲,0
17,火炭麗琪,驗孕的下晝,0
18,跟你開玩笑,德州之戀,0
19,適婚的年齡,土瓜灣情歌,0
20,Binary,囍帖街,0
21,跟你開玩笑,八點零五分,0
22,你說之後會找我,Hey Hey Baby,0
23,跟你開玩笑,某夜後台,0
24,初夏之戀,I'll Have to Say I Love You in a Song,0
25,跟你開玩笑,不要把冬天衫放回衣櫃,0
26,跟你開玩笑,循環的夜,0
27,適婚的年齡,美麗新香港,0
28,寂寞的星期五,憂傷的嫖客,0
29,如愿,如愿,0
30,跟你開玩笑,我不適合聚會,0
31,What's Going On...?,富士山下,0
32,黑·白·灰,十年,0
33,孤勇者 (《英雄聯盟:雙城之戰》動畫劇集中文主題曲),孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,0
34,I ALSO DON'T KNOW (Live),每次你走的時分 - Live,0
35,遊戲 基,必殺技,0
36,華納廿三週年紀念精選系列 - Beyond,海闊天空,0
37,Kelly Stylish Index,Love Paradise,0
38,Shall We Dance? Shall We Talk!,單車,0
39,秋日思念絮語,愛一個人好難,0
40,秋日思念絮語,獨家記憶,0
41,秋日思念絮語,體會,0
42,秋日思念絮語,上弦月,0
43,Best Cantopop Tunes,二等天使,0
44,Best Cantopop Tunes,追 - 電影《金枝玉葉》歌曲,0
45,Best Cantopop Tunes,夏日傾情,0
46,Best Cantopop Tunes,她比我醜,0
47,Best Cantopop Tunes,戀愛頻率,0
48,Best Cantopop Tunes,脆弱,0
49,Best Cantopop Tunes,無悔這一生 - 無綫電視劇「香港雲起時」主題曲,0
50,羅生門,羅生門,0
51,人類不宜飛行,人類不宜飛行,0
52,認了吧,好久不見,0
53,危險世界,特別的人,0
54,SABINA之淚,今夜雪糕,0
55,命運派對,光輝歲月,0
56,火炭麗琪,獨身的理由,0
57,不能不愛…盧巧音精選,好心分手,0
58,SABINA之淚,只收一半,0
59,你說之後會找我,你說之後會找我,0
60,SABINA之淚,那陣時不知道,0
61,SABINA之淚,20GB,0
62,你說之後會找我,再殺一個人,0
63,All Time Favourites,忘記他,0
64,反對無效,反對無效,0
65,Life Continues,最佳損友,0
66,SABINA之淚,散步之年,0
67,認了吧,愛情轉移(國),0
68,Can't Be Half,你瞞我瞞,0
69,認了吧,淘汰,0
70,寂寞的星期五,回到中學的暑假,0
71,Play It Loud Kiss Music Soft,少女的祈禱,0
72,傳奇 - 胡思亂想,夢中人,0
73,只因當時太緊張,失落沮喪歌,0
74,你說之後會找我,你叫我譯一首德國歌詞,0
75,電視劇《夏至未至》原聲帶,追光者 (電視劇《夏至未至》插曲),0
76,介乎法國與旺角的詩意,浪漫九龍塘,0
77,記憶棉,記憶棉,0
78,天空,掙脫,0
79,我們在中場相遇,慢慢喜歡你,0
80,Miriam's Music Box,可惜我是水瓶座,0
81,10號梁漢文,七友,0
